Piezo Voltage (V),Fine In 1 (V),Fine In 2 (V)
62.374416,0.363977,0.339812
62.377377,0.363805,0.339609
62.380322,0.363733,0.3394
62.383305,0.363615,0.338623
62.386272,0.362933,0.337614
62.389233,0.362025,0.33665
62.392193,0.361291,0.336184
62.395161,0.360918,0.335986
62.398129,0.360836,0.33554
62.401073,0.360878,0.334836
62.404049,0.360424,0.33403
62.407017,0.359789,0.333628
62.409985,0.35896,0.333417
62.412937,0.358415,0.33299
62.415905,0.358433,0.332423
62.418873,0.358641,0.331912
62.421825,0.358649,0.331815
62.424793,0.358395,0.331871
62.427761,0.357447,0.331657
62.430721,0.356825,0.330917
62.433689,0.357098,0.330482
62.436649,0.357867,0.330649
62.43961,0.358274,0.330985
62.442577,0.35779,0.330696
62.445545,0.357134,0.329996
62.448498,0.356772,0.329307
62.451466,0.356791,0.329164
62.454433,0.357384,0.329384
62.457401,0.357469,0.329114
62.460354,0.357047,0.328263
62.463322,0.356478,0.32757
62.46629,0.356416,0.327409
62.46925,0.356122,0.327133
62.472202,0.356179,0.326648
62.475178,0.355721,0.325795
62.478138,0.355348,0.325332
62.481106,0.355111,0.32517
62.484074,0.354804,0.324629
62.487026,0.354063,0.323518
62.489994,0.353595,0.322887
62.492954,0.353258,0.322805
62.495914,0.353119,0.322594
62.498882,0.35273,0.3218
62.50185,0.35187,0.320726
62.504818,0.351374,0.320563
62.507778,0.351296,0.32061
62.510738,0.351331,0.320213
62.513683,0.350786,0.319421
62.516666,0.349743,0.318926
62.519627,0.349467,0.319159
62.522594,0.349745,0.319109
62.525555,0.350042,0.318669
62.528522,0.34941,0.31839
62.53149,0.348589,0.318661
62.534428,0.348583,0.318725
62.537411,0.349445,0.31867
62.540379,0.349543,0.318835
62.543331,0.349031,0.319303
62.546299,0.34825,0.319092
62.549267,0.348793,0.319136
62.552235,0.349415,0.319732
62.55518,0.34916,0.320359
62.558155,0.348403,0.320467
62.561123,0.348149,0.320455
62.564083,0.348767,0.321584
62.567051,0.348681,0.322709
62.570011,0.347927,0.323197
62.572971,0.347447,0.323787
62.575932,0.347627,0.325181
62.578907,0.347426,0.325584
62.58186,0.346657,0.324485
62.584827,0.346315,0.323217
62.587795,0.346077,0.321797
62.590763,0.345605,0.319728
62.593716,0.345127,0.317719
62.596684,0.344835,0.31632
62.599651,0.344326,0.314827
62.602604,0.343619,0.313035
62.605572,0.343326,0.312056
62.60854,0.343156,0.311281
62.6115,0.342332,0.3099
62.614468,0.341622,0.30861
62.617428,0.341711,0.308469
62.620388,0.341831,0.307945
62.623356,0.340641,0.306606
62.626301,0.340206,0.306106
62.629276,0.340706,0.306345
62.632244,0.340913,0.305863
62.635212,0.339777,0.304843
62.63818,0.339529,0.30493
62.641132,0.340411,0.304989
62.6441,0.340466,0.304352
62.647045,0.339511,0.303823
62.650028,0.339225,0.304048
62.652988,0.340216,0.303834
62.655956,0.340202,0.303322
62.658916,0.339484,0.303434
62.661884,0.338973,0.303204
62.664845,0.33987,0.30278
62.667789,0.339938,0.302725
62.670773,0.339102,0.302701
62.67374,0.338845,0.302123
62.676693,0.339075,0.301582
62.679661,0.33908,0.302093
62.682629,0.338377,0.301749
62.685596,0.338037,0.30102
62.688541,0.337992,0.301112
62.691517,0.337712,0.301532
62.694485,0.337232,0.300979
62.697445,0.336838,0.300679
62.700405,0.336469,0.301107
62.703373,0.33604,0.301362
62.706333,0.335681,0.301132
62.709293,0.335481,0.301354
62.712261,0.33473,0.301979
62.715221,0.33434,0.302397
62.718189,0.334255,0.302789
62.721157,0.334143,0.303996
62.724125,0.333187,0.305138
62.727077,0.332683,0.306143
62.730045,0.333025,0.307967
62.733013,0.333184,0.310483
62.735966,0.332264,0.312201
62.738934,0.33158,0.313674
62.741901,0.332217,0.315544
62.744862,0.332635,0.316544
62.747829,0.331892,0.315564
62.75079,0.330937,0.313161
62.75375,0.331453,0.311202
62.756718,0.332283,0.30906
62.759663,0.331949,0.306023
62.762638,0.331074,0.303143
62.765606,0.330469,0.301194
62.768574,0.331335,0.299552
62.771542,0.331572,0.297488
62.774494,0.330845,0.295383
62.777462,0.330188,0.29411
62.780407,0.329868,0.292703
62.783382,0.330124,0.290994
62.78635,0.329844,0.289387
62.789318,0.329125,0.288286
62.792278,0.328572,0.287179
62.795238,0.328262,0.285621
62.798206,0.327842,0.2841
62.801159,0.327583,0.283435
62.804134,0.326982,0.282591
62.807102,0.32677,0.281308
62.810055,0.326137,0.279882
62.813023,0.325521,0.278781
62.81599,0.325065,0.2783
62.818943,0.324812,0.277548
62.821896,0.324441,0.27634
62.824879,0.324145,0.27518
62.827847,0.323452,0.274539
62.830807,0.323128,0.274289
62.833767,0.322953,0.273533
62.836735,0.323058,0.272699
62.839695,0.323075,0.272018
62.842648,0.322538,0.271778
62.845623,0.321882,0.271225
62.848583,0.321751,0.270516
62.851551,0.322138,0.269985
62.854519,0.322674,0.269753
62.857471,0.322722,0.269754
62.860439,0.322273,0.269263
62.8634,0.321581,0.268404
62.86636,0.321247,0.267649
62.869328,0.321714,0.267436
62.872295,0.322639,0.267599
62.875263,0.322675,0.267168
62.878223,0.322217,0.266351
62.881184,0.321435,0.265351
62.884151,0.321003,0.264901
62.887112,0.321142,0.264901
62.890079,0.321511,0.264482
62.89304,0.321386,0.263784
62.896,0.321075,0.262982
62.898968,0.320355,0.262475
62.901936,0.319909,0.262255
62.904888,0.3197,0.261803
62.907856,0.319534,0.261121
62.910824,0.319398,0.260449
62.913776,0.319138,0.259816
62.916744,0.318693,0.259986
62.919712,0.318206,0.259761
62.92268,0.317962,0.259189
62.92564,0.31764,0.258436
62.9286,0.317391,0.257837
62.931568,0.317401,0.258034
62.934513,0.317338,0.258222
62.937496,0.31718,0.258087
62.940456,0.317095,0.257645
62.943417,0.316957,0.257043
62.946384,0.316639,0.257029
62.949352,0.316722,0.257337
62.952305,0.316756,0.257504
62.955257,0.317177,0.257349
62.958241,0.317454,0.257103
62.961208,0.317869,0.257179
62.964169,0.317634,0.257298
62.967129,0.317409,0.257302
62.970097,0.317122,0.256976
