Sweep Expansion, 1
P,0.0
I,0.0
D,0.0
All,2.0
t (s), Frequency Drift (GHz), Active Current (mA), Piezo Voltage 
1320.744, -0.03252114784578239, 128.34583196046128, 61.1566162109375
1336.068, -0.03158663210308749, 128.32896210873145, 61.1566162109375
1351.395, -0.03439017933117219, 128.36270181219112, 61.1566162109375
1366.724, -0.03364256673701626, 128.32896210873145, 61.1566162109375
1382.051, -0.033455663588477284, 128.32052718286656, 61.1566162109375
1397.384, -0.03270805099432137, 128.32052718286656, 61.1566162109375
1412.713, -0.03252114784578239, 128.32896210873145, 61.1566162109375
1428.049, -0.031773535251626475, 128.32052718286656, 61.1566162109375
1443.379, -0.03233424469724341, 128.32052718286656, 61.1566162109375
1458.74, -0.016073670774352213, 128.30365733113672, 61.1566162109375
1474.063, -0.03158663210308749, 128.34583196046128, 61.1566162109375
1489.39, -0.03551159822240606, 128.32896210873147, 61.1566162109375
1504.719, -0.03476398562825014, 128.36270181219112, 61.1566162109375
1520.05, -0.03476398562825014, 128.33739703459636, 61.1566162109375
1535.384, -0.03439017933117219, 128.33739703459636, 61.1566162109375
1550.711, -0.015886767625813238, 128.33739703459636, 61.1566162109375
1566.043, -0.01775579911120303, 128.32896210873145, 61.1566162109375
1581.373, -0.035324695073867075, 128.35426688632617, 61.1566162109375
1596.69, -0.018316508556819967, 128.3542668863262, 61.1566162109375
1612.02, -0.03569850137094503, 128.34583196046128, 61.1566162109375
1627.345, -0.03569850137094503, 128.32896210873147, 61.1566162109375
1642.671, -0.017195089665586093, 128.31209225700164, 61.1566162109375
1657.993, -0.01663438021996915, 128.3542668863262, 61.1566162109375
1673.323, -0.021680765230521593, 128.32896210873145, 61.1566162109375
1688.656, -0.01682128336850813, 128.3373970345964, 61.1566162109375
1703.994, -0.01775579911120303, 128.3542668863262, 61.1566162109375
1719.32, -0.035137791925328093, 128.32896210873145, 61.1566162109375
1734.648, -0.015326058180196299, 128.32052718286656, 61.1566162109375
1749.974, -0.035885404519484014, 128.32896210873145, 61.1566162109375
1765.307, -0.01999863689367078, 128.33739703459636, 61.1566162109375
1780.635, -0.018503411705358942, 128.32052718286656, 61.1566162109375
1795.963, -0.021306958933443632, 128.32052718286656, 61.1566162109375
1811.28, -0.018690314853897924, 128.32896210873147, 61.1566162109375
1826.61, -0.021120055784904654, 128.32052718286656, 61.1566162109375
1841.937, -0.02298908727029445, 128.32052718286656, 61.1566162109375
1857.258, -0.0198117337451318, 128.34583196046128, 61.1566162109375
1872.589, -0.02186766837906057, 128.32896210873145, 61.17431640625
1887.926, -0.017942702259742007, 128.3373970345964, 61.17431640625
1903.286, -0.023175990418833427, 128.34583196046128, 61.1566162109375
1918.611, -0.025418828201301175, 128.371136738056, 61.1566162109375
1933.939, -0.02205457152759955, 128.31209225700164, 61.17431640625
1949.271, -0.03812824230195176, 128.32896210873145, 61.1566162109375
1964.59, -0.02018554004220976, 128.3542668863262, 61.1566162109375
1979.931, -0.02018554004220976, 128.32896210873147, 61.1566162109375
1995.261, -0.02467121560714526, 128.35426688632617, 61.1566162109375
2010.586, -0.02467121560714526, 128.32896210873145, 61.1566162109375
2025.91, -0.023549796715911384, 128.32896210873145, 61.17431640625
2041.233, -0.02205457152759955, 128.34583196046128, 61.17431640625
2056.571, -0.02448431245860628, 128.34583196046128, 61.1566162109375
2071.896, -0.023175990418833427, 128.32896210873145, 61.1566162109375
2087.226, -0.023736699864450362, 128.34583196046128, 61.17431640625
2102.551, -0.02467121560714526, 128.33739703459636, 61.1566162109375
2117.876, -0.02672715024107403, 128.34583196046128, 61.1566162109375
2133.206, -0.023923603012989344, 128.32896210873145, 61.1566162109375
2148.531, -0.02224147467613853, 128.32896210873145, 61.17431640625
2163.864, -0.0252319250527622, 128.32896210873145, 61.1566162109375
2179.19, -0.029156891172080764, 128.35426688632617, 61.1566162109375
2194.543, -0.02710095653815199, 128.3373970345964, 61.1566162109375
2209.879, -0.025418828201301175, 128.33739703459636, 61.1566162109375
2225.206, -0.025045021904223218, 128.34583196046128, 61.17431640625
2240.542, -0.023736699864450362, 128.33739703459636, 61.1566162109375
2255.867, -0.026914053389613012, 128.33739703459636, 61.1566162109375
2271.205, -0.02896998802354178, 128.30365733113672, 61.1566162109375
2286.538, -0.031212825806009533, 128.33739703459636, 61.1566162109375
2301.854, -0.028222375429385868, 128.33739703459636, 61.1566162109375
2317.171, -0.02710095653815199, 128.3373970345964, 61.1566162109375
2332.493, -0.02710095653815199, 128.34583196046128, 61.1566162109375
2347.837, -0.028035472280846886, 128.36270181219112, 61.1566162109375
2363.156, -0.02635334394399607, 128.32896210873145, 61.1566162109375
2378.485, -0.02635334394399607, 128.31209225700164, 61.1566162109375
2393.804, -0.030091406914775656, 128.32052718286656, 61.1566162109375
2409.122, -0.032147341548704425, 128.34583196046128, 61.1566162109375
2424.47, -0.0332687604399383, 128.36270181219112, 61.1566162109375
2439.795, -0.03252114784578239, 128.3542668863262, 61.1566162109375
2455.117, -0.03158663210308749, 128.3373970345964, 61.1566162109375
2470.446, -0.03083901950893158, 128.31209225700167, 61.1566162109375
2485.769, -0.031773535251626475, 128.3373970345964, 61.17431640625
2501.114, -0.037006823410717885, 128.35426688632617, 61.1566162109375
2516.447, -0.03495088877678912, 128.34583196046128, 61.1566162109375
2531.774, -0.03569850137094503, 128.35426688632617, 61.17431640625
2547.095, -0.03476398562825014, 128.3542668863262, 61.1566162109375
2562.427, -0.03644611396510095, 128.32896210873145, 61.1566162109375
2577.772, -0.03644611396510095, 128.34583196046128, 61.1566162109375
2593.095, -0.03644611396510095, 128.32052718286656, 61.1566162109375
2608.426, -0.038502048599029726, 128.37957166392093, 61.1566162109375
2623.75, -0.03981037063880258, 128.32052718286656, 61.1566162109375
2639.107, -0.03738062970779585, 128.32896210873145, 61.1566162109375
2654.43, -0.035885404519484014, 128.30365733113672, 61.1566162109375
2669.751, -0.03812824230195176, 128.32896210873145, 61.1566162109375
2685.081, -0.038502048599029726, 128.32896210873145, 61.1566162109375
2700.405, -0.03812824230195176, 128.3373970345964, 61.17431640625
2715.744, -0.03943656434172462, 128.34583196046128, 61.1566162109375
2731.076, -0.040184176935880535, 128.3373970345964, 61.1566162109375
2746.417, -0.040184176935880535, 128.31209225700167, 61.1566162109375
