Sweep Expansion, 1
P,0.0047
I,0.002
D,0.0
All,1.0
t (s), Frequency Drift (GHz), Active Current (mA), Piezo Volta 
569.686, -0.00747612594155917, 127.67103789126853, 64.537353515625
585.02, -0.0056070944561693765, 127.72164744645798, 64.5196533203125
600.349, -0.008877899555601514, 127.67103789126853, 64.537353515625
615.67, -0.006074352327516825, 127.6541680395387, 64.5196533203125
631.017, -0.008877899555601514, 127.67947281713344, 64.5196533203125
646.343, -0.00747612594155917, 127.6541680395387, 64.5196533203125
661.67, -0.006541610198864273, 127.69634266886325, 64.5196533203125
677.015, -0.00747612594155917, 127.67947281713344, 64.537353515625
692.349, -0.004205320842127032, 127.69634266886325, 64.5196533203125
707.67, -0.004672578713474481, 127.71321252059307, 64.537353515625
723.027, -0.004672578713474481, 127.71321252059309, 64.5196533203125
738.357, -0.006541610198864273, 127.70477759472817, 64.5196533203125
753.697, -0.0070088680702117215, 127.68790774299833, 64.5196533203125
769.039, -0.00513983658482193, 127.70477759472817, 64.5196533203125
784.36, 0.00046725787134744814, 127.67947281713344, 64.537353515625
799.696, -0.0032708050994321365, 127.68790774299835, 64.5196533203125
815.021, -0.004205320842127032, 127.69634266886325, 64.5196533203125
830.357, 0.0, 127.70477759472817, 64.5196533203125
845.683, 0.006074352327516825, 127.71321252059307, 64.5196533203125
861.016, -0.0032708050994321365, 127.69634266886325, 64.5196533203125
876.343, 0.0, 127.71321252059307, 64.5196533203125
891.665, -0.004205320842127032, 127.69634266886325, 64.5196533203125
907.016, 0.003738062970779585, 127.70477759472817, 64.5196533203125
922.343, 0.003738062970779585, 127.73851729818782, 64.5196533203125
937.676, -0.0018690314853897925, 127.68790774299835, 64.5196533203125
953.015, 0.0023362893567372405, 127.70477759472817, 64.5196533203125
968.347, -0.003738062970779585, 127.721647446458, 64.5196533203125
983.674, 0.004205320842127032, 127.71321252059309, 64.5196533203125
999.021, 0.0028035472280846883, 127.721647446458, 64.5196533203125
1014.347, -0.0032708050994321365, 127.71321252059307, 64.5196533203125
1029.673, 0.0023362893567372405, 127.70477759472817, 64.5196533203125
1045.019, -0.0032708050994321365, 127.71321252059307, 64.5196533203125
1060.366, 0.004205320842127032, 127.7300823723229, 64.5196533203125
1075.689, -0.0018690314853897925, 127.70477759472817, 64.5196533203125
1091.017, -0.0014017736140423441, 127.69634266886325, 64.501953125
1106.344, 0.0028035472280846883, 127.69634266886325, 64.501953125
1121.662, 0.0, 127.70477759472817, 64.501953125
1137.017, 0.00513983658482193, 127.69634266886325, 64.501953125
1152.366, 0.00046725787134744814, 127.70477759472817, 64.501953125
1167.694, 0.00513983658482193, 127.70477759472817, 64.501953125
1183.023, 0.0028035472280846883, 127.67947281713344, 64.501953125
1198.362, 0.003738062970779585, 127.68790774299835, 64.501953125
1213.743, 0.0028035472280846883, 127.68790774299833, 64.501953125
1229.069, 0.00513983658482193, 127.70477759472817, 64.501953125
1244.395, 0.0, 127.721647446458, 64.501953125
1259.744, 0.00513983658482193, 127.67103789126853, 64.501953125
1275.074, 0.00046725787134744814, 127.71321252059307, 64.501953125
1290.422, 0.0023362893567372405, 127.721647446458, 64.501953125
1305.751, 0.0028035472280846883, 127.721647446458, 64.4842529296875
1321.072, 0.0023362893567372405, 127.7300823723229, 64.501953125
1336.406, 0.0056070944561693765, 127.69634266886325, 64.501953125
1351.728, 0.0028035472280846883, 127.7469522240527, 64.501953125
1367.042, 0.0023362893567372405, 127.70477759472817, 64.501953125
1382.361, 0.006074352327516825, 127.71321252059307, 64.501953125
1397.694, 0.0023362893567372405, 127.70477759472817, 64.501953125
1413.021, 0.00046725787134744814, 127.7300823723229, 64.501953125
1428.363, 0.00046725787134744814, 127.68790774299835, 64.501953125
1443.687, 0.00046725787134744814, 127.7300823723229, 64.501953125
1459.036, 0.0056070944561693765, 127.7300823723229, 64.4842529296875
1474.364, 0.0, 127.72164744645798, 64.501953125
1489.69, 0.0032708050994321365, 127.721647446458, 64.501953125
1505.023, 0.00513983658482193, 127.72164744645798, 64.4842529296875
