Timestamp,Instrument Wavelength,Instrument Intensity,
510.379,384228.822,0.312, 
515.38,384228.8214,0.31, 
520.38,384228.8234,0.312, 
525.388,384228.8237,0.311, 
530.397,384228.8253,0.31, 
535.4,384228.8215,0.307, 
540.409,384228.8254,0.306, 
545.416,384228.8226,0.314, 
550.429,384228.8268,0.31, 
555.43,384228.8225,0.307, 
560.439,384228.8237,0.309, 
565.442,384228.8255,0.311, 
570.45,384228.8269,0.315, 
575.456,384228.8246,0.311, 
580.456,384228.8266,0.312, 
585.461,384228.8253,0.313, 
590.471,384228.8257,0.321, 
595.48,384228.8275,0.311, 
600.48,384228.8287,0.307, 
605.486,384228.8273,0.306, 
610.492,384228.8304,0.315, 
615.813,384228.8275,0.317, 
620.896,384228.8287,0.319, 
625.9,384228.8283,0.314, 
630.901,384228.8289,0.318, 
635.91,384228.8318,0.31, 
640.91,384228.8315,0.314, 
645.918,384228.8324,0.315, 
650.922,384228.8313,0.313, 
655.928,384228.832,0.317, 
661.158,384228.8304,0.32, 
666.167,384228.833,0.319, 
671.171,384228.8338,0.321, 
676.458,384228.8337,0.322, 
681.459,384228.8358,0.319, 
686.467,384228.8366,0.316, 
691.794,384228.8334,0.319, 
696.798,384228.8381,0.32, 
701.958,384228.8335,0.313, 
706.961,384228.8377,0.32, 
711.968,384228.8374,0.321, 
716.97,384228.8373,0.32, 
721.984,384228.8365,0.314, 
726.99,384228.84,0.318, 
732.05,384228.8397,0.314, 
737.05,384228.8389,0.313, 
742.058,384228.8369,0.313, 
747.058,384228.8394,0.311, 
752.07,384228.8381,0.309, 
757.08,384228.8379,0.31, 
762.086,384228.8362,0.316, 
767.52,384228.837,0.313, 
772.521,384228.8383,0.319, 
777.54,384228.8363,0.31, 
782.54,384228.8414,0.311, 
787.548,384228.8385,0.318, 
792.561,384228.8397,0.316, 
797.572,384228.8381,0.318, 
802.58,384228.8389,0.314, 
807.582,384228.841,0.321, 
812.588,384228.8433,0.315, 
817.59,384228.8428,0.314, 
822.596,384228.8423,0.314, 
827.606,384228.844,0.311, 
832.606,384228.8437,0.318, 
837.61,384228.8426,0.315, 
842.674,384228.8444,0.309, 
847.676,384228.8464,0.315, 
852.687,384228.8454,0.315, 
857.688,384228.8433,0.307, 
862.693,384228.8463,0.312, 
867.697,384228.848,0.312, 
872.703,384228.8457,0.312, 
877.71,384228.8481,0.313, 
882.914,384228.8477,0.315, 
887.921,384228.8491,0.309, 
892.924,384228.8482,0.31, 
897.936,384228.8508,0.312, 
902.941,384228.8495,0.315, 
907.941,384228.8496,0.315, 
913.406,384228.8492,0.315, 
918.41,384228.8516,0.318, 
923.414,384228.851,0.307, 
928.42,384228.851,0.315, 
933.42,384228.8502,0.309, 
938.42,384228.8493,0.311, 
943.42,384228.85,0.308, 
948.6,384228.8495,0.313, 
953.603,384228.8494,0.316, 
958.777,384228.849,0.309, 
963.785,384228.8479,0.312, 
968.786,384228.8456,0.31, 
973.787,384228.8488,0.311, 
978.79,384228.8491,0.311, 
983.797,384228.8522,0.311, 
988.8,384228.8508,0.311, 
993.8,384228.852,0.311, 
998.807,384228.8524,0.312, 
1003.943,384228.8533,0.311, 
1008.958,384228.8507,0.307, 
1013.96,384228.854,0.313, 
1018.961,384228.8538,0.311, 
1023.968,384228.8531,0.308, 
1028.976,384228.8559,0.312, 
1034.047,384228.8523,0.308, 
1039.054,384228.8555,0.307, 
1044.055,384228.8524,0.311, 
1049.06,384228.8545,0.306, 
1054.066,384228.8541,0.305, 
1059.074,384228.8534,0.311, 
1064.076,384228.8513,0.309, 
1069.119,384228.8518,0.307, 
1074.128,384228.8503,0.304, 
1079.278,384228.8512,0.303, 
1084.28,384228.8517,0.308, 
1089.281,384228.8539,0.312, 
1094.281,384228.8526,0.309, 
1099.296,384228.8545,0.309, 
1104.3,384228.8554,0.308, 
1109.306,384228.8548,0.31, 
1114.578,384228.8567,0.307, 
1119.581,384228.8569,0.309, 
1124.584,384228.857,0.309, 
1129.59,384228.8576,0.305, 
1134.597,384228.8541,0.309, 
1139.603,384228.8553,0.304, 
1144.61,384228.859,0.313, 
1149.61,384228.857,0.31, 
1154.613,384228.8569,0.307, 
1159.62,384228.8589,0.305, 
1164.62,384228.8576,0.301, 
1169.625,384228.8561,0.299, 
1174.63,384228.8578,0.308, 
1179.63,384228.8552,0.306, 
1185.033,384228.854,0.302, 
1190.04,384228.8561,0.302, 
1195.04,384228.8556,0.3, 
1200.04,384228.856,0.304, 
1205.05,384228.8551,0.302, 
1210.166,384228.8536,0.296, 
1215.167,384228.8541,0.293, 
1220.167,384228.8539,0.294, 
1225.17,384228.8517,0.29, 
1230.587,384228.8523,0.293, 
1235.686,384228.8532,0.291, 
1240.813,384228.8533,0.293, 
1245.82,384228.8544,0.293, 
1250.821,384228.8526,0.298, 
1255.826,384228.8517,0.296, 
1260.83,384228.855,0.296, 
1265.83,384228.8545,0.295, 
1270.833,384228.8528,0.295, 
1275.841,384228.8508,0.295, 
1280.851,384228.8519,0.296, 
1285.851,384228.8522,0.295, 
1290.86,384228.852,0.295, 
1295.861,384228.8534,0.297, 
1300.87,384228.8535,0.297, 
1305.87,384228.8538,0.292, 
1310.87,384228.8516,0.289, 
1315.87,384228.8528,0.291, 
1320.875,384228.854,0.292, 
1325.88,384228.8506,0.293, 
1331.015,384228.8504,0.292, 
1336.02,384228.8492,0.288, 
1341.02,384228.8511,0.295, 
1346.02,384228.8501,0.297, 
1351.02,384228.8527,0.296, 
1356.026,384228.8464,0.284, 
1361.03,384228.8474,0.278, 
1366.036,384228.8472,0.28, 
1371.046,384228.8473,0.281, 
1376.055,384228.8488,0.277, 
1381.343,384228.8492,0.28, 
1386.358,384228.8479,0.285, 
1391.362,384228.8478,0.278, 
1396.37,384228.849,0.284, 
1401.372,384228.8492,0.288, 
1406.83,384228.8504,0.289, 
1411.832,384228.8492,0.278, 
1416.963,384228.847,0.28, 
1421.97,384228.8495,0.284, 
1427.272,384228.8477,0.277, 
1432.28,384228.8474,0.281, 
1437.28,384228.8488,0.291, 
1442.284,384228.8467,0.282, 
1447.728,384228.8435,0.279, 
1452.73,384228.8457,0.279, 
1457.935,384228.8453,0.279, 
1462.942,384228.8446,0.279, 
1467.956,384228.8441,0.281, 
1472.96,384228.8427,0.28, 
1477.966,384228.8432,0.283, 
1483.317,384228.841,0.279, 
1488.327,384228.8419,0.284, 
1493.33,384228.8397,0.28, 
1498.331,384228.8411,0.281, 
1503.628,384228.8435,0.287, 
1508.636,384228.8409,0.281, 
1513.636,384228.8422,0.286, 
1518.902,384228.8415,0.282, 
1523.915,384228.8403,0.28, 
1528.92,384228.8404,0.273, 
1534.151,384228.8418,0.279, 
1539.273,384228.841,0.28, 
1544.287,384228.8413,0.277, 
1549.498,384228.8401,0.277, 
1554.5,384228.8399,0.277, 
1559.5,384228.843,0.287, 
1564.5,384228.8433,0.285, 
1569.507,384228.8416,0.288, 
1574.51,384228.8431,0.282, 
1579.516,384228.8429,0.279, 
1584.52,384228.8423,0.284, 
1589.52,384228.8429,0.282, 
1594.52,384228.842,0.283, 
1599.52,384228.841,0.282, 
1604.523,384228.8393,0.277, 
1609.53,384228.8395,0.278, 
1614.53,384228.8399,0.28, 
1619.532,384228.8403,0.281, 
1624.538,384228.8416,0.281, 
1629.546,384228.8406,0.278, 
1634.55,384228.841,0.279, 
1639.551,384228.8416,0.275, 
1644.551,384228.8394,0.278, 
1649.566,384228.8385,0.272, 
1654.579,384228.8401,0.281, 
1659.586,384228.8382,0.277, 
1664.587,384228.8399,0.276, 
1669.763,384228.8407,0.283, 
1674.777,384228.8385,0.277, 
1679.782,384228.8388,0.278, 
1684.79,384228.8388,0.274, 
1689.791,384228.8399,0.283, 
1694.793,384228.8409,0.286, 
1699.796,384228.8407,0.286, 
1704.8,384228.8373,0.278, 
1709.806,384228.8384,0.281, 
1714.816,384228.8379,0.278, 
1719.82,384228.8379,0.285, 
1724.822,384228.8413,0.287, 
1729.831,384228.8403,0.285, 
1734.845,384228.8388,0.279, 
1739.85,384228.8388,0.283, 
1744.85,384228.8363,0.278, 
1749.857,384228.8367,0.285, 
1755.073,384228.8366,0.283, 
1760.08,384228.8354,0.279, 
1765.08,384228.8329,0.275, 
1770.08,384228.8338,0.275, 
1775.086,384228.8324,0.277, 
1780.089,384228.8345,0.28, 
1785.091,384228.8348,0.288, 
1790.1,384228.8343,0.285, 
1795.11,384228.833,0.278, 
1800.417,384228.833,0.278, 
1805.504,384228.831,0.273, 
1810.511,384228.8341,0.275, 
1815.526,384228.8321,0.282, 
1820.801,384228.8336,0.282, 
1825.817,384228.8352,0.281, 
