Timestamp,Instrument Wavelength,Instrument Intensity
4.476, 384229.5845, 0.149, 
4.486, 384229.5714, 0.151, 
4.496, 384229.5644, 0.150, 
4.506, 384229.5540, 0.146, 
4.516, 384229.5464, 0.146, 
4.525, 384229.5353, 0.150, 
4.536, 384229.5273, 0.153, 
4.546, 384229.5148, 0.151, 
4.556, 384229.5073, 0.149, 
4.566, 384229.4969, 0.146, 
4.576, 384229.4894, 0.148, 
4.586, 384229.4770, 0.153, 
4.596, 384229.4693, 0.153, 
4.606, 384229.4581, 0.150, 
4.619, 384229.4470, 0.146, 
4.626, 384229.4393, 0.148, 
4.636, 384229.4320, 0.152, 
4.647, 384229.4201, 0.154, 
4.656, 384229.4126, 0.152, 
4.666, 384229.4009, 0.147, 
4.676, 384229.3932, 0.147, 
4.685, 384229.3820, 0.152, 
4.696, 384229.3736, 0.154, 
4.706, 384229.3632, 0.154, 
4.716, 384229.3554, 0.150, 
4.726, 384229.3433, 0.147, 
4.736, 384229.3349, 0.151, 
4.746, 384229.3242, 0.156, 
4.756, 384229.3166, 0.155, 
4.766, 384229.3052, 0.150, 
4.776, 384229.2967, 0.148, 
4.786, 384229.2850, 0.152, 
4.796, 384229.2771, 0.156, 
4.806, 384229.2677, 0.157, 
4.816, 384229.2586, 0.154, 
4.825, 384229.2462, 0.149, 
4.836, 384229.2396, 0.150, 
4.845, 384229.2266, 0.156, 
4.856, 384229.2193, 0.159, 
4.866, 384229.2085, 0.155, 
4.876, 384229.1997, 0.151, 
4.886, 384229.1895, 0.151, 
4.896, 384229.1814, 0.156, 
4.906, 384229.1692, 0.160, 
4.916, 384229.1615, 0.158, 
4.926, 384229.1483, 0.152, 
4.936, 384229.1424, 0.151, 
4.945, 384229.1312, 0.159, 
4.956, 384229.1222, 0.160, 
4.966, 384229.1129, 0.159, 
4.976, 384229.1033, 0.155, 
4.986, 384229.0916, 0.153, 
4.996, 384229.0836, 0.158, 
5.006, 384229.0716, 0.161, 
5.016, 384229.0648, 0.160, 
5.025, 384229.0582, 0.156, 
5.037, 384229.0439, 0.152, 
5.046, 384229.0339, 0.158, 
5.056, 384229.0252, 0.162, 
5.066, 384229.0149, 0.161, 
5.076, 384229.0075, 0.156, 
5.086, 384228.9942, 0.153, 
5.096, 384228.9864, 0.157, 
5.106, 384228.9753, 0.164, 
5.117, 384228.9684, 0.163, 
5.126, 384228.9560, 0.156, 
5.136, 384228.9473, 0.153, 
5.146, 384228.9363, 0.159, 
5.156, 384228.9286, 0.164, 
5.166, 384228.9179, 0.163, 
5.176, 384228.9112, 0.159, 
5.186, 384228.8956, 0.153, 
5.196, 384228.8884, 0.157, 
5.206, 384228.8782, 0.165, 
5.216, 384228.8707, 0.165, 
5.226, 384228.8586, 0.158, 
5.236, 384228.8505, 0.154, 
5.246, 384228.8393, 0.158, 
5.256, 384228.8321, 0.164, 
5.266, 384228.8201, 0.165, 
5.276, 384228.8127, 0.161, 
5.286, 384228.8001, 0.155, 
5.296, 384228.7929, 0.158, 
5.306, 384228.7807, 0.167, 
5.316, 384228.7741, 0.167, 
5.326, 384228.7795, 0.168, 
5.336, 384228.7861, 0.164, 
5.346, 384228.7968, 0.156, 
5.356, 384228.8033, 0.156, 
5.366, 384228.8155, 0.162, 
5.376, 384228.8224, 0.166, 
5.386, 384228.8319, 0.165, 
5.396, 384228.8399, 0.160, 
5.406, 384228.8492, 0.154, 
5.416, 384228.8565, 0.157, 
5.426, 384228.8683, 0.164, 
5.436, 384228.8753, 0.165, 
5.446, 384228.8862, 0.160, 
5.456, 384228.8928, 0.155, 
5.466, 384228.9052, 0.155, 
5.476, 384228.9137, 0.160, 
5.486, 384228.9230, 0.165, 
5.496, 384228.9296, 0.162, 
5.506, 384228.9410, 0.155, 
5.516, 384228.9483, 0.152, 
5.526, 384228.9622, 0.159, 
5.536, 384228.9694, 0.163, 
5.546, 384228.9793, 0.162, 
5.556, 384228.9857, 0.157, 
5.566, 384228.9981, 0.153, 
5.576, 384229.0062, 0.155, 
5.586, 384229.0172, 0.162, 
5.596, 384229.0250, 0.162, 
5.606, 384229.0354, 0.156, 
5.616, 384229.0426, 0.152, 
5.626, 384229.0548, 0.155, 
5.636, 384229.0624, 0.160, 
5.646, 384229.0701, 0.162, 
5.656, 384229.0823, 0.158, 
5.666, 384229.0928, 0.151, 
5.676, 384229.0997, 0.152, 
5.686, 384229.1126, 0.159, 
5.696, 384229.1191, 0.161, 
5.706, 384229.1312, 0.157, 
5.716, 384229.1382, 0.153, 
5.726, 384229.1494, 0.152, 
5.736, 384229.1578, 0.156, 
5.746, 384229.1690, 0.159, 
5.756, 384229.1771, 0.158, 
5.766, 384229.1896, 0.152, 
5.776, 384229.1970, 0.149, 
5.786, 384229.2076, 0.155, 
5.796, 384229.2148, 0.158, 
5.806, 384229.2273, 0.156, 
5.816, 384229.2363, 0.151, 
5.827, 384229.2463, 0.149, 
5.836, 384229.2544, 0.152, 
5.846, 384229.2658, 0.157, 
