Timestamp,Instrument Wavelength,Instrument Intensity
2021-07-28T11:57:26.060,384228.8017,0.260
2021-07-28T11:57:31.061,384228.8043,0.258
2021-07-28T11:57:36.063,384228.8043,0.258
2021-07-28T11:57:41.071,384228.8052,0.256
2021-07-28T11:57:46.071,384228.8002,0.260
2021-07-28T11:57:51.075,384228.8013,0.259
2021-07-28T11:57:56.083,384228.8042,0.252
2021-07-28T11:58:01.093,384228.8046,0.256
2021-07-28T11:58:06.096,384228.8100,0.258
2021-07-28T11:58:11.096,384228.8068,0.259
2021-07-28T11:58:16.096,384228.8113,0.258
2021-07-28T11:58:21.102,384228.8098,0.259
2021-07-28T11:58:26.107,384228.8088,0.258
2021-07-28T11:58:31.112,384228.8109,0.258
2021-07-28T11:58:36.114,384228.8126,0.256
2021-07-28T11:58:41.115,384228.8054,0.259
2021-07-28T11:58:46.117,384228.8090,0.258
2021-07-28T11:58:51.124,384228.8081,0.257
2021-07-28T11:58:56.129,384228.8111,0.259
2021-07-28T11:59:01.141,384228.8078,0.257
2021-07-28T11:59:06.146,384228.8036,0.255
2021-07-28T11:59:11.152,384228.8055,0.257
2021-07-28T11:59:16.156,384228.8109,0.259
2021-07-28T11:59:21.162,384228.8106,0.258
2021-07-28T11:59:26.170,384228.8113,0.258
2021-07-28T11:59:31.171,384228.8011,0.255
2021-07-28T11:59:36.177,384228.8067,0.247
2021-07-28T11:59:41.190,384228.8037,0.252
2021-07-28T11:59:46.200,384228.8083,0.249
2021-07-28T11:59:51.202,384228.8033,0.254
2021-07-28T11:59:56.203,384228.8060,0.248
2021-07-28T12:00:01.210,384228.8068,0.254
2021-07-28T12:00:06.223,384228.8012,0.256
2021-07-28T12:00:11.223,384228.7997,0.255
2021-07-28T12:00:16.224,384228.8066,0.251
2021-07-28T12:00:21.224,384228.8041,0.253
2021-07-28T12:00:26.224,384228.8091,0.249
2021-07-28T12:00:31.228,384228.8043,0.253
2021-07-28T12:00:36.239,384228.8112,0.248
2021-07-28T12:00:41.246,384228.8052,0.248
2021-07-28T12:00:46.250,384228.8043,0.249
2021-07-28T12:00:51.255,384228.8090,0.247
2021-07-28T12:00:56.256,384228.8031,0.246
2021-07-28T12:01:01.261,384228.7969,0.246
2021-07-28T12:01:06.267,384228.8001,0.246
2021-07-28T12:01:11.272,384228.7994,0.248
2021-07-28T12:01:16.272,384228.8068,0.250
2021-07-28T12:01:21.275,384228.7991,0.248
2021-07-28T12:01:26.282,384228.8072,0.248
2021-07-28T12:01:31.287,384228.8095,0.245
2021-07-28T12:01:36.289,384228.8028,0.245
2021-07-28T12:01:41.295,384228.8028,0.248
2021-07-28T12:01:46.300,384228.7990,0.251
2021-07-28T12:01:51.304,384228.7985,0.252
2021-07-28T12:01:56.314,384228.7966,0.254
2021-07-28T12:02:01.315,384228.8043,0.253
2021-07-28T12:02:06.321,384228.7973,0.255
2021-07-28T12:02:11.329,384228.8022,0.256
2021-07-28T12:02:16.329,384228.8035,0.253
