"Piezo Voltage (V)";"(none) ()";"Fine In 1 (V)";
64.057671;0.244975;0.140072;
64.061356;0.242452;0.139198;
64.065048;0.245005;0.138317;
64.068741;0.244787;0.137294;
64.072441;0.240509;0.136519;
64.076134;0.242578;0.135847;
64.079803;0.242462;0.135273;
64.083511;0.239043;0.134936;
64.087212;0.242051;0.134617;
64.090904;0.242927;0.134347;
64.094597;0.240553;0.134182;
64.098297;0.243290;0.134215;
64.101982;0.244143;0.134386;
64.105675;0.240452;0.134562;
64.109367;0.241673;0.134623;
64.113060;0.242167;0.134779;
64.116737;0.237939;0.134949;
64.120445;0.239785;0.135192;
64.124138;0.240942;0.135402;
64.127831;0.237970;0.135474;
64.131523;0.240741;0.135543;
64.135223;0.242402;0.135416;
64.138908;0.239424;0.135471;
64.142601;0.240494;0.135462;
64.146294;0.241702;0.135427;
64.149986;0.237416;0.135168;
64.153671;0.237974;0.134993;
64.157372;0.239179;0.134870;
64.161064;0.235556;0.134800;
64.164757;0.237407;0.134587;
64.168457;0.239378;0.134359;
64.172150;0.236747;0.134314;
64.175835;0.238053;0.134321;
64.179535;0.239638;0.134270;
64.183228;0.235758;0.134178;
64.186913;0.235610;0.134267;
64.190598;0.236571;0.134532;
64.194298;0.232090;0.134765;
64.197998;0.232555;0.134968;
64.201691;0.234096;0.135342;
64.205383;0.230719;0.135698;
64.209076;0.231617;0.136141;
64.212761;0.233250;0.136570;
64.216461;0.229653;0.137084;
64.220154;0.228712;0.137511;
64.223839;0.229314;0.137902;
64.227524;0.224302;0.138351;
64.231239;0.223077;0.138691;
64.234924;0.223442;0.139036;
64.238617;0.218731;0.139307;
64.242310;0.218733;0.139601;
64.246002;0.219630;0.139744;
64.249702;0.215614;0.139773;
64.253387;0.214816;0.139853;
64.257080;0.215052;0.140033;
64.260765;0.209951;0.140054;
64.264473;0.207978;0.139980;
64.268166;0.208033;0.139926;
64.271851;0.202856;0.139978;
64.275543;0.202094;0.139956;
64.279243;0.202875;0.139929;
64.282936;0.199328;0.139987;
64.286629;0.199620;0.140141;
64.290314;0.201089;0.140302;
64.294014;0.197789;0.140443;
64.297691;0.197803;0.140726;
64.301399;0.199406;0.141066;
64.305092;0.196332;0.141614;
64.308777;0.197629;0.142026;
64.312477;0.200548;0.142543;
64.316170;0.199891;0.143191;
64.319862;0.202330;0.143790;
64.323555;0.205362;0.144384;
64.327240;0.201426;0.144996;
64.330940;0.200578;0.145559;
64.334618;0.201259;0.146058;
64.338326;0.197128;0.146620;
64.342026;0.197252;0.146951;
64.345718;0.198739;0.147331;
64.349403;0.195804;0.147625;
64.353096;0.198255;0.147799;
