"Time (ms)";"Fine In 2 (V)";
37.181702;0.000485;
37.279549;0.000488;
37.377396;0.000492;
37.475243;0.000450;
37.573090;-0.006148;
37.670937;-0.002690;
37.768784;-0.000598;
37.866631;-0.000126;
37.964478;0.000241;
38.062325;0.000376;
38.160172;0.000444;
38.258018;0.000470;
38.355865;0.000478;
38.453712;0.000482;
38.551559;0.000502;
38.649406;0.000485;
38.747253;0.000493;
38.845100;0.000481;
38.942947;0.000500;
39.040794;0.000505;
39.138641;0.000523;
39.236488;0.000505;
39.334335;0.000495;
39.432182;0.000520;
39.530029;0.000506;
39.627876;0.000488;
39.725723;0.000490;
39.823570;0.000499;
39.921417;0.000502;
40.019264;0.000529;
40.117111;0.000511;
40.214958;0.000514;
40.312805;0.000507;
40.410652;0.000495;
40.508499;0.000472;
40.606346;0.000452;
40.704193;-0.006637;
40.802040;-0.002744;
40.899887;-0.000593;
40.997734;-0.000069;
41.095581;0.000308;
41.193428;0.000383;
41.291275;0.000432;
41.389122;0.000479;
41.486969;0.000476;
41.584816;0.000481;
41.682663;0.000490;
41.780510;0.000502;
41.878357;0.000501;
41.976204;0.000492;
42.074051;0.000496;
42.171898;0.000491;
42.269745;0.000518;
42.367592;0.000492;
42.465439;0.000478;
42.563286;0.000495;
42.661133;0.000469;
42.758980;0.000504;
42.856827;0.000482;
42.954674;0.000514;
43.052521;0.000500;
43.150368;0.000505;
43.248215;0.000491;
43.346062;0.000500;
43.443909;0.000502;
43.541756;0.000483;
43.639603;0.000406;
43.737450;-0.005069;
43.835297;-0.001697;
43.933144;-0.000627;
44.030991;0.000024;
44.128838;0.000379;
44.226685;0.000419;
44.324532;0.000466;
44.422379;0.000477;
44.520226;0.000463;
44.618073;0.000437;
44.715919;0.000397;
44.813766;0.000393;
44.911613;-0.000019;
45.009460;-0.000484;
45.107307;-0.000812;
45.205154;-0.002311;
45.303001;-0.009621;
45.400848;0.000417;
45.498695;0.000479;
45.596542;0.000495;
45.694389;0.000494;
45.792236;0.000511;
45.890083;0.000504;
45.987930;0.000486;
46.085777;0.000494;
46.183624;0.000508;
46.281471;0.000501;
46.379318;0.000488;
46.477165;0.000492;
46.575012;0.000486;
46.672859;0.000501;
46.770706;0.000484;
46.868553;0.000516;
46.966400;0.000527;
47.064247;0.000518;
47.162094;0.000499;
47.259941;0.000500;
47.357788;0.000477;
47.455635;0.000489;
47.553482;0.000495;
47.651329;0.000464;
47.749176;0.000468;
47.847023;0.000467;
47.944870;0.000416;
48.042717;0.000376;
48.140564;0.000352;
48.238411;-0.000088;
48.336258;-0.000523;
48.434105;-0.002067;
48.531952;-0.004741;
48.629799;0.000339;
48.727646;0.000460;
48.825493;0.000483;
48.923340;0.000490;
49.021187;0.000497;
49.119034;0.000497;
49.216881;0.000508;
49.314728;0.000496;
49.412575;0.000513;
49.510422;0.000491;
49.608269;0.000512;
49.706116;0.000507;
49.803963;0.000482;
49.901810;0.000486;
49.999657;0.000492;
50.097504;0.000511;
50.195351;0.000494;
50.293198;0.000507;
50.391045;0.000502;
50.488892;0.000510;
50.586739;0.000504;
50.684586;0.000481;
50.782433;0.000491;
50.880280;0.000459;
50.978127;0.000484;
51.075974;0.000434;
51.173820;0.000373;
51.271667;0.000177;
51.369514;-0.000214;
51.467361;-0.000777;
51.565208;-0.002381;
51.663055;-0.011965;
51.760902;0.000439;
51.858749;0.000494;
51.956596;0.000468;
52.054443;0.000484;
52.152290;0.000493;
52.250137;0.000502;
52.347984;0.000491;
52.445831;0.000486;
52.543678;0.000474;
52.641525;0.000511;
52.739372;0.000491;
52.837219;0.000493;
52.935066;0.000497;
53.032913;0.000484;
53.130760;0.000487;
53.228607;0.000489;
53.326454;0.000490;
53.424301;0.000503;
53.522148;0.000496;
53.619995;0.000489;
53.717842;0.000502;
53.815689;0.000481;
53.913536;0.000460;
54.011383;0.000449;
54.109230;0.000399;
54.207077;0.000359;
54.304924;-0.000045;
54.402771;-0.000405;
54.500618;-0.000048;
54.598465;0.000349;
54.696312;0.000389;
54.794159;0.000439;
54.892006;0.000446;
54.989853;0.000474;
55.087700;0.000479;
55.185547;0.000488;
55.283394;0.000474;
55.381241;0.000506;
55.479088;0.000496;
55.576935;0.000501;
55.674782;0.000473;
55.772629;0.000489;
55.870476;0.000496;
55.968323;0.000482;
56.066170;0.000484;
56.164017;0.000477;
56.261864;0.000501;
56.359711;0.000488;
56.457558;0.000500;
56.555405;0.000484;
56.653252;0.000506;
56.751099;0.000495;
56.848946;0.000506;
56.946793;0.000507;
57.044640;0.000482;
57.142487;0.000487;
57.240334;0.000477;
57.338181;0.000494;
57.436028;0.000381;
57.533875;-0.004995;
57.631721;-0.002119;
57.729568;-0.000561;
57.827415;-0.000108;
57.925262;0.000323;
58.023109;0.000378;
58.120956;0.000451;
58.218803;0.000463;
58.316650;0.000473;
58.414497;0.000480;
58.512344;0.000489;
58.610191;0.000497;
58.708038;0.000514;
58.805885;0.000501;
58.903732;0.000507;
59.001579;0.000486;
59.099426;0.000487;
59.197273;0.000499;
59.295120;0.000495;
59.392967;0.000514;
59.490814;0.000493;
59.588661;0.000505;
59.686508;0.000475;
59.784355;0.000500;
59.882202;0.000504;
59.980049;0.000492;
60.077896;0.000496;
60.175743;0.000496;
60.273590;0.000499;
60.371437;0.000505;
60.469284;0.000478;
60.567131;0.000414;
60.664978;-0.005085;
60.762825;-0.002112;
60.860672;-0.000592;
60.958519;-0.000114;
61.056366;0.000378;
61.154213;0.000395;
61.252060;0.000440;
61.349907;0.000490;
61.447754;0.000475;
61.545601;0.000479;
61.643448;0.000503;
61.741295;0.000500;
61.839142;0.000481;
61.936989;0.000509;
62.034836;0.000486;
62.132683;0.000476;
62.230530;0.000511;
62.328377;0.000498;
62.426224;0.000507;
62.524071;0.000508;
62.621918;0.000489;
62.719765;0.000501;
62.817612;0.000503;
62.915459;0.000493;
63.013306;0.000487;
63.111153;0.000488;
63.209000;0.000502;
63.306847;0.000509;
63.404694;0.000486;
63.502541;0.000465;
63.600388;0.000181;
63.698235;-0.003655;
63.796082;-0.001047;
63.893929;-0.000470;
63.991776;0.000020;
64.089622;0.000360;
64.187469;0.000424;
64.285316;0.000439;
64.383163;0.000449;
64.481010;0.000458;
64.578857;0.000438;
64.676704;0.000371;
64.774551;0.000326;
64.872398;-0.000096;
64.970245;-0.000598;
65.068092;-0.001195;
65.165939;-0.003229;
65.263786;-0.006821;
65.361633;0.000444;
65.459480;0.000496;
65.557327;0.000500;
65.655174;0.000502;
65.753021;0.000496;
65.850868;0.000490;
65.948715;0.000504;
66.046562;0.000464;
66.144409;0.000509;
66.242256;0.000505;
66.340103;0.000494;
66.437950;0.000486;
66.535797;0.000477;
66.633644;0.000498;
66.731491;0.000513;
66.829338;0.000501;
66.927185;0.000504;
67.025032;0.000509;
67.122879;0.000503;
67.220726;0.000498;
67.318573;0.000490;
67.416420;0.000490;
67.514267;0.000492;
67.612114;0.000469;
67.709961;0.000480;
67.807808;0.000434;
67.905655;0.000421;
68.003502;0.000405;
68.101349;0.000213;
68.199196;-0.000083;
68.297043;-0.000621;
68.394890;-0.002746;
68.492737;-0.006499;
68.590584;0.000396;
68.688431;0.000481;
68.786278;0.000501;
68.884125;0.000495;
68.981972;0.000492;
69.079819;0.000506;
69.177666;0.000493;
69.275513;0.000497;
69.373360;0.000497;
69.471207;0.000501;
