"Piezo Voltage (V)";"Fine In 1 (V)";"Lock-In Out (V)";
57.227413;0.677430;-0.000670;
57.227741;0.677217;-0.000575;
57.228115;0.677202;-0.000517;
57.228458;0.677076;-0.000432;
57.228870;0.677020;-0.000407;
57.229183;0.676895;-0.000322;
57.229565;0.676833;-0.000202;
57.229969;0.676928;-0.000142;
57.230328;0.676895;-0.000092;
57.230602;0.676848;-0.000021;
57.231022;0.676894;0.000067;
57.231419;0.677068;0.000122;
57.231800;0.677073;0.000171;
57.232143;0.677114;0.000255;
57.232449;0.677279;0.000295;
57.232853;0.677436;0.000336;
57.233189;0.677568;0.000444;
57.233631;0.677855;0.000530;
57.233952;0.678117;0.000527;
57.234341;0.678395;0.000617;
57.234684;0.678650;0.000666;
57.234982;0.679036;0.000673;
57.235386;0.679427;0.000752;
57.235752;0.679994;0.000823;
57.236240;0.680299;0.000926;
57.236507;0.681005;0.000886;
57.236851;0.681590;0.001040;
57.237278;0.682380;0.001080;
57.237598;0.682704;0.001203;
57.238041;0.683449;0.001148;
57.238361;0.684191;0.001235;
57.238712;0.684786;0.001355;
57.239071;0.685850;0.001418;
57.239468;0.686481;0.001433;
57.239788;0.687311;0.001464;
57.240200;0.688327;0.001527;
57.240505;0.689039;0.001657;
57.240917;0.689916;0.001689;
57.241268;0.690648;0.001747;
57.241611;0.691397;0.001735;
57.241993;0.692323;0.001792;
57.242382;0.693292;0.001868;
57.242771;0.694145;0.001917;
57.243092;0.694616;0.002070;
57.243435;0.695297;0.002020;
57.243816;0.696005;0.002085;
57.244221;0.696570;0.002118;
57.244595;0.697876;0.002003;
57.244892;0.698596;0.002270;
57.245228;0.699401;0.002210;
57.245670;0.700258;0.002286;
57.245991;0.700954;0.002391;
57.246319;0.701670;0.002387;
57.246731;0.702259;0.002460;
57.247112;0.703315;0.002456;
57.247410;0.704496;0.002427;
57.247791;0.704635;0.002542;
57.248142;0.705395;0.002701;
57.248554;0.706182;0.002538;
57.248867;0.706912;0.002691;
57.249317;0.707706;0.002626;
57.249630;0.708796;0.002503;
57.250019;0.709305;0.002720;
57.250355;0.710724;0.002778;
57.250774;0.711472;0.002621;
57.251080;0.712368;0.002817;
57.251461;0.713187;0.002860;
57.251827;0.714188;0.002758;
57.252171;0.714973;0.002716;
57.252529;0.716081;0.002722;
57.252934;0.717208;0.002791;
57.253254;0.718334;0.002780;
57.253674;0.719935;0.002987;
57.254017;0.721174;0.002720;
57.254360;0.722564;0.002825;
57.254780;0.723623;0.002833;
57.255093;0.724789;0.002920;
57.255459;0.725866;0.002988;
57.255848;0.726934;0.002738;
57.256199;0.728769;0.002902;
57.256542;0.730292;0.002611;
57.256878;0.732083;0.002691;
57.257320;0.733550;0.002792;
57.257633;0.734699;0.002690;
57.257977;0.736107;0.002717;
57.258396;0.737796;0.002423;
57.258770;0.738933;0.002474;
57.259060;0.740377;0.002447;
57.259434;0.741227;0.002331;
57.259846;0.741918;0.002311;
57.260159;0.742923;0.002187;
57.260525;0.744152;0.002149;
57.260876;0.744782;0.002108;
57.261250;0.745679;0.001823;
57.261677;0.746373;0.001778;
57.262058;0.747010;0.001633;
57.262371;0.747548;0.001531;
57.262760;0.747938;0.001407;
57.263096;0.748332;0.001199;
57.263424;0.748741;0.001082;
57.263828;0.748775;0.000996;
57.264187;0.748878;0.000728;
57.264576;0.749058;0.000534;
57.264957;0.748930;0.000427;
57.265331;0.748948;0.000204;
57.265606;0.748745;0.000017;
57.266033;0.748574;-0.000165;
57.266453;0.748354;-0.000354;
57.266743;0.748040;-0.000527;
57.267124;0.747747;-0.000688;
57.267437;0.747285;-0.000869;
57.267864;0.747143;-0.001009;
57.268154;0.746810;-0.001185;
57.268581;0.746165;-0.001341;
57.268894;0.745682;-0.001475;
57.269276;0.745355;-0.001646;
57.269680;0.744952;-0.001797;
57.270023;0.744445;-0.001845;
57.270412;0.744044;-0.002084;
57.270733;0.743191;-0.002172;
57.271130;0.742285;-0.002279;
57.271458;0.741733;-0.002422;
57.271877;0.741191;-0.002640;
57.272289;0.739857;-0.002675;
57.272625;0.739202;-0.002785;
57.272961;0.738240;-0.002856;
57.273342;0.737111;-0.003162;
57.273685;0.736191;-0.003035;
57.274029;0.734882;-0.003345;
57.274349;0.733685;-0.003324;
57.274792;0.732366;-0.003453;
57.275120;0.730829;-0.003468;
57.275455;0.729585;-0.003592;
57.275906;0.728083;-0.003737;
57.276165;0.726901;-0.003656;
57.276585;0.724966;-0.003710;
57.277020;0.722741;-0.003635;
57.277287;0.721212;-0.003889;
57.277714;0.719521;-0.003899;
57.278011;0.717672;-0.003727;
57.278461;0.715941;-0.003902;
57.278782;0.713715;-0.004022;
57.279087;0.711629;-0.004005;
57.279453;0.709759;-0.004065;
57.279926;0.708278;-0.003996;
57.280224;0.706181;-0.003990;
57.280560;0.704080;-0.003957;
57.280941;0.701762;-0.004029;
57.281338;0.699884;-0.004083;
57.281712;0.697575;-0.004103;
57.282093;0.695891;-0.004457;
57.282436;0.693973;-0.004037;
57.282749;0.691604;-0.004220;
57.283123;0.689544;-0.004060;
57.283550;0.687830;-0.004193;
57.283894;0.686163;-0.003998;
57.284252;0.684141;-0.004089;
57.284603;0.682534;-0.004177;
57.284977;0.680744;-0.004187;
57.285381;0.679072;-0.004184;
57.285702;0.677336;-0.004093;
57.286091;0.675978;-0.004123;
57.286427;0.674621;-0.004222;
57.286808;0.672963;-0.004119;
57.287128;0.671578;-0.004130;
57.287518;0.670299;-0.004131;
57.287884;0.669846;-0.004267;
57.288273;0.668813;-0.003997;
57.288601;0.667029;-0.003867;
57.288960;0.665546;-0.003970;
57.289303;0.664504;-0.004105;
57.289692;0.663354;-0.004110;
57.290096;0.662362;-0.004047;
57.290432;0.660742;-0.004024;
57.290859;0.659379;-0.004041;
57.291180;0.658122;-0.003997;
57.291508;0.657137;-0.004048;
57.291927;0.656083;-0.003938;
57.292271;0.654756;-0.003860;
57.292591;0.653243;-0.003762;
57.292934;0.651703;-0.003820;
57.293301;0.650973;-0.003753;
57.293697;0.649485;-0.004030;
57.294109;0.647787;-0.003780;
57.294445;0.646564;-0.003709;
57.294781;0.645124;-0.003622;
57.295139;0.643923;-0.003837;
57.295528;0.642352;-0.003625;
57.295895;0.640573;-0.003549;
57.296284;0.638680;-0.003596;
57.296658;0.637405;-0.003452;
57.296993;0.636246;-0.003504;
57.297337;0.634587;-0.003591;
57.297741;0.632812;-0.003483;
57.298084;0.631242;-0.003454;
57.298458;0.629216;-0.003384;
57.298832;0.627458;-0.003509;
57.299168;0.625704;-0.003631;
57.299564;0.623731;-0.003493;
57.299931;0.622181;-0.003662;
57.300274;0.620155;-0.003528;
57.300694;0.618238;-0.003389;
57.300976;0.616631;-0.003476;
57.301365;0.615094;-0.003582;
57.301662;0.613514;-0.003511;
57.302082;0.612061;-0.003402;
57.302433;0.610590;-0.003349;
57.302837;0.608803;-0.003276;
57.303188;0.606897;-0.003291;
57.303570;0.605750;-0.003330;
57.303921;0.603849;-0.003114;
57.304218;0.602578;-0.003315;
57.304676;0.601322;-0.003137;
57.305050;0.599957;-0.003077;
57.305370;0.598266;-0.003155;
57.305729;0.596826;-0.003135;
57.306110;0.595864;-0.003142;
57.306469;0.594707;-0.003002;
57.306805;0.593556;-0.002979;
57.307201;0.592145;-0.002889;
57.307529;0.591200;-0.003066;
57.307926;0.590243;-0.002928;
57.308300;0.589153;-0.002959;
57.308674;0.588083;-0.002952;
57.309063;0.587170;-0.002911;
57.309406;0.586085;-0.002768;
57.309734;0.585144;-0.002821;
57.310085;0.584390;-0.002848;
57.310436;0.583340;-0.002725;
57.310848;0.582458;-0.002732;
57.311123;0.581874;-0.002711;
57.311504;0.581122;-0.002616;
57.311848;0.580853;-0.002621;
57.312260;0.579970;-0.002608;
57.312687;0.578988;-0.002609;
57.312992;0.578327;-0.002588;
57.313374;0.577695;-0.002630;
57.313755;0.576873;-0.002424;
57.314129;0.575882;-0.002427;
57.314503;0.575320;-0.002501;
57.314831;0.574210;-0.002444;
57.315281;0.573411;-0.002276;
57.315540;0.572471;-0.002410;
57.315960;0.571613;-0.002289;
57.316311;0.570622;-0.002323;
57.316647;0.569786;-0.002216;
57.316990;0.568938;-0.002320;
57.317364;0.568114;-0.002206;
57.317783;0.567102;-0.002182;
57.318104;0.565964;-0.002198;
57.318455;0.564932;-0.002089;
57.318851;0.563960;-0.002049;
57.319164;0.562815;-0.002028;
57.319508;0.562090;-0.002191;
57.320004;0.560874;-0.002073;
57.320278;0.559984;-0.002043;
57.320683;0.558703;-0.002081;
57.321049;0.557640;-0.001983;
57.321308;0.556721;-0.001942;
57.321735;0.555681;-0.001862;
57.322094;0.554450;-0.001960;
57.322460;0.553432;-0.001836;
57.322842;0.552271;-0.001853;
57.323215;0.551524;-0.001763;
57.323551;0.550589;-0.001907;
57.323978;0.549568;-0.001809;
57.324352;0.548655;-0.001750;
57.324657;0.547890;-0.001699;
57.325031;0.547027;-0.001703;
57.325428;0.546209;-0.001756;
57.325771;0.545419;-0.001634;
57.326183;0.544648;-0.001671;
57.326572;0.543866;-0.001591;
57.326908;0.543022;-0.001584;
57.327267;0.542412;-0.001668;
57.327602;0.541645;-0.001547;
57.328022;0.540971;-0.001563;
57.328449;0.540572;-0.001575;
57.328747;0.539991;-0.001526;
57.329151;0.539288;-0.001431;
57.329472;0.538734;-0.001470;
57.329838;0.538119;-0.001488;
57.330196;0.537575;-0.001454;
57.330585;0.537109;-0.001463;
57.330929;0.536555;-0.001390;
57.331249;0.536133;-0.001409;
57.331615;0.535832;-0.001384;
57.331974;0.535511;-0.001345;
57.332401;0.534795;-0.001292;
57.332745;0.534334;-0.001281;
57.333057;0.534169;-0.001332;
57.333469;0.533698;-0.001301;
57.333820;0.533362;-0.001331;
57.334187;0.532715;-0.001282;
57.334553;0.532323;-0.001169;
57.334858;0.531905;-0.001227;
57.335308;0.531399;-0.001185;
57.335659;0.531039;-0.001125;
57.335964;0.530597;-0.001166;
57.336338;0.530123;-0.001149;
57.336720;0.529579;-0.001131;
57.337101;0.529213;-0.001083;
57.337444;0.528685;-0.001061;
57.337826;0.528138;-0.001057;
57.338139;0.527639;-0.001029;
57.338551;0.527066;-0.001051;
57.338955;0.526668;-0.001027;
57.339298;0.526000;-0.001012;
57.339626;0.525625;-0.000982;
57.339993;0.525227;-0.000955;
57.340374;0.524619;-0.000992;
57.340755;0.524059;-0.000930;
57.341152;0.523385;-0.000877;
57.341480;0.522997;-0.000909;
57.341801;0.522462;-0.000877;
57.342236;0.521935;-0.000888;
57.342541;0.521356;-0.000843;
57.342937;0.520830;-0.000873;
57.343311;0.520497;-0.000780;
57.343632;0.520000;-0.000796;
57.344006;0.519344;-0.000773;
57.344349;0.518828;-0.000776;
57.344723;0.518330;-0.000760;
57.345142;0.518033;-0.000768;
57.345448;0.517560;-0.000694;
57.345829;0.517120;-0.000704;
57.346210;0.516696;-0.000716;
57.346569;0.516301;-0.000651;
57.346859;0.515963;-0.000610;
57.347256;0.515750;-0.000663;
57.347652;0.515279;-0.000579;
57.348042;0.514946;-0.000641;
57.348377;0.514594;-0.000630;
57.348743;0.514312;-0.000637;
57.349148;0.514194;-0.000639;
57.349461;0.513771;-0.000558;
57.349827;0.513544;-0.000575;
57.350170;0.513372;-0.000547;
57.350483;0.512978;-0.000504;
57.350933;0.512857;-0.000536;
57.351299;0.512617;-0.000486;
57.351620;0.512366;-0.000514;
57.351978;0.512137;-0.000478;
57.352428;0.512009;-0.000479;
57.352772;0.511854;-0.000441;
57.353130;0.511588;-0.000428;
57.353497;0.511496;-0.000436;
57.353794;0.511287;-0.000423;
57.354176;0.510979;-0.000389;
57.354565;0.510789;-0.000382;
57.354977;0.510469;-0.000413;
57.355289;0.510323;-0.000351;
57.355671;0.510089;-0.000356;
57.356060;0.509973;-0.000370;
57.356403;0.509751;-0.000341;
57.356754;0.509524;-0.000314;
57.357121;0.509232;-0.000323;
57.357510;0.509060;-0.000294;
57.357876;0.508832;-0.000316;
57.358227;0.508666;-0.000241;
57.358540;0.508459;-0.000225;
57.358952;0.508042;-0.000238;
57.359303;0.507899;-0.000193;
57.359707;0.507713;-0.000218;
57.359997;0.507650;-0.000163;
57.360409;0.507510;-0.000167;
57.360760;0.507189;-0.000127;
57.361217;0.506855;-0.000132;
57.361507;0.506727;-0.000156;
57.361866;0.506569;-0.000082;
57.362209;0.506401;-0.000108;
57.362621;0.506216;-0.000099;
57.362911;0.506009;-0.000108;
57.363308;0.505874;-0.000073;
57.363621;0.505778;-0.000030;
57.364079;0.505592;-0.000043;
57.364414;0.505445;0.000002;
