"Piezo Voltage (V)";"Fine In 1 (V)";
72.400635;1.699084;
72.419342;1.707238;
72.438034;1.717313;
72.456726;1.727359;
72.475464;1.736706;
72.494156;1.747077;
72.512848;1.760982;
72.531593;1.778417;
72.550301;1.795138;
72.568977;1.810909;
72.587715;1.825337;
72.606422;1.842804;
72.625107;1.864369;
72.643822;1.885523;
72.662529;1.903493;
72.681229;1.919891;
72.699944;1.939852;
72.718651;1.962837;
72.737373;1.985098;
72.756065;2.004651;
72.774780;2.022216;
72.793495;2.041608;
72.812187;2.063859;
72.830894;2.086802;
72.849625;2.107212;
72.868317;2.124066;
72.887016;2.140483;
72.905746;2.160441;
72.924438;2.182143;
72.943138;2.200334;
72.961868;2.213661;
72.980560;2.226691;
72.999260;2.243504;
73.017982;2.261753;
73.036682;2.276207;
73.055389;2.286466;
73.074097;2.295970;
73.092812;2.309114;
73.111511;2.323624;
73.130219;2.336247;
73.148941;2.344430;
73.167656;2.350656;
73.186325;2.359348;
73.205063;2.370874;
73.223778;2.381873;
73.242447;2.387177;
73.261169;2.389406;
73.279900;2.394573;
73.298576;2.403917;
73.317291;2.412106;
73.336021;2.414511;
73.354713;2.414258;
73.373421;2.416964;
73.392151;2.423466;
73.410851;2.429575;
73.429543;2.431103;
73.448242;2.430169;
73.466972;2.430731;
73.485664;2.435246;
73.504356;2.440835;
73.523094;2.442889;
73.541786;2.441060;
73.560478;2.439360;
73.579224;2.442338;
73.597931;2.447820;
73.616608;2.449258;
73.635338;2.445509;
73.654037;2.442453;
73.672737;2.444804;
73.691452;2.449165;
73.710159;2.449612;
73.728859;2.446094;
73.747574;2.443043;
73.766281;2.444424;
73.785004;2.448053;
73.803696;2.449584;
73.822411;2.447147;
73.841125;2.443830;
73.859818;2.443597;
73.878510;2.447254;
73.897255;2.450168;
73.915924;2.447916;
73.934647;2.442975;
73.953377;2.441914;
73.972069;2.446186;
73.990768;2.448552;
74.009499;2.445553;
74.028191;2.440373;
74.046890;2.439326;
74.065613;2.442655;
74.084312;2.444712;
74.103020;2.442909;
74.121727;2.438610;
74.140442;2.437215;
74.159142;2.439780;
74.177834;2.443366;
74.196571;2.443001;
74.215286;2.438823;
74.233955;2.435953;
74.252693;2.438308;
74.271408;2.442535;
74.290077;2.441356;
74.308800;2.436078;
74.327530;2.432789;
74.346214;2.435407;
74.364922;2.438946;
74.383652;2.437619;
74.402359;2.432889;
74.421051;2.430011;
74.439758;2.431981;
74.458481;2.435282;
74.477173;2.435581;
74.495865;2.432661;
74.514603;2.428848;
74.533295;2.429485;
74.551987;2.433698;
74.570724;2.435036;
74.589432;2.430991;
74.608109;2.426265;
74.626854;2.427350;
74.645561;2.431485;
74.664246;2.431985;
74.682968;2.427381;
74.701668;2.423187;
74.720367;2.424272;
74.739082;2.427642;
74.757790;2.428248;
74.776489;2.425246;
74.795204;2.421660;
74.813911;2.421707;
74.832634;2.424700;
74.851326;2.426798;
74.870041;2.424788;
74.888756;2.420462;
74.907433;2.419502;
74.926155;2.423512;
74.944885;2.425983;
74.963562;2.422580;
74.982277;2.417398;
75.001007;2.416857;
75.019699;2.420781;
75.038399;2.422139;
75.057129;2.419290;
75.075821;2.415114;
75.094521;2.414761;
75.113235;2.417291;
75.131943;2.419461;
75.150650;2.418296;
75.169342;2.414466;
75.188080;2.412614;
75.206779;2.415501;
75.225464;2.418988;
75.244202;2.417577;
75.262917;2.412361;
75.281586;2.410262;
75.300316;2.413693;
75.319038;2.416530;
75.337708;2.414080;
75.356430;2.409022;
75.375160;2.407866;
75.393845;2.410727;
75.412552;2.412924;
75.431267;2.411813;
75.449989;2.408239;
75.468681;2.406283;
75.487389;2.408316;
75.506111;2.411856;
75.524803;2.411731;
75.543495;2.407152;
75.562233;2.403928;
75.580925;2.406664;
75.599617;2.410859;
75.618355;2.408936;
75.637062;2.403655;
75.655739;2.401458;
75.674484;2.404313;
75.693176;2.406934;
75.711876;2.405354;
75.730583;2.401905;
75.749298;2.399964;
75.767998;2.401597;
75.786713;2.404573;
75.805420;2.404724;
75.824135;2.400870;
75.842834;2.397361;
75.861542;2.399184;
75.880264;2.403647;
75.898956;2.402991;
75.917656;2.397802;
75.936386;2.394756;
75.955063;2.397616;
75.973785;2.400567;
75.992516;2.399291;
76.011192;2.394931;
76.029907;2.392556;
76.048637;2.394336;
76.067329;2.397121;
76.086029;2.396842;
76.104759;2.393250;
76.123451;2.390201;
76.142151;2.391429;
76.160843;2.395475;
76.179573;2.395378;
76.198280;2.390583;
76.216972;2.386288;
76.235710;2.388654;
76.254410;2.392581;
76.273094;2.391127;
76.291832;2.385634;
76.310547;2.382793;
76.329216;2.384979;
76.347939;2.387246;
76.366669;2.385792;
76.385338;2.381459;
76.404060;2.378280;
76.422775;2.379282;
76.441483;2.382051;
76.460182;2.381732;
76.478897;2.377084;
76.497620;2.372497;
76.516312;2.373521;
76.535011;2.377075;
76.553741;2.375374;
76.572433;2.369269;
76.591125;2.364477;
76.609863;2.366231;
76.628555;2.368189;
76.647247;2.364811;
76.665985;2.358799;
76.684677;2.354484;
76.703384;2.355109;
76.722115;2.356097;
76.740807;2.353906;
76.759506;2.347511;
76.778214;2.342293;
76.796928;2.341748;
76.815628;2.343549;
76.834343;2.340564;
76.853050;2.332791;
76.871765;2.326469;
76.890465;2.326774;
76.909172;2.327022;
76.927895;2.322036;
76.946571;2.313715;
76.965302;2.308006;
76.984016;2.307328;
77.002693;2.306166;
77.021416;2.301000;
77.040146;2.292922;
77.058838;2.286927;
77.077538;2.285322;
77.096268;2.284636;
77.114960;2.280155;
77.133659;2.271744;
77.152382;2.265115;
77.171082;2.263983;
77.189781;2.263841;
77.208473;2.258429;
77.227219;2.249616;
77.245911;2.243727;
77.264603;2.243663;
77.283340;2.243014;
77.302048;2.237826;
77.320724;2.230412;
77.339462;2.226393;
77.358177;2.227116;
77.376846;2.228035;
77.395569;2.225870;
77.414276;2.221233;
77.432968;2.218703;
77.451691;2.221997;
77.470406;2.226757;
77.489113;2.227169;
77.507812;2.224773;
77.526527;2.225991;
77.545250;2.234023;
77.563942;2.241578;
77.582642;2.243877;
77.601372;2.243674;
77.620064;2.245245;
77.638756;2.262030;
77.657494;2.265632;
77.676186;2.266270;
77.694878;2.266268;
77.713615;2.259574;
77.732307;2.250894;
77.751015;2.245077;
77.769730;2.237206;
77.788437;2.227624;
77.807137;2.223260;
77.825844;2.226038;
77.844559;2.228087;
77.863258;2.224813;
77.881973;2.219599;
77.900681;2.218741;
77.919403;2.223118;
77.938072;2.225443;
77.956802;2.223910;
77.975525;2.221249;
77.994202;2.222779;
78.012917;2.227935;
78.031647;2.232447;
78.050323;2.232995;
78.069046;2.231483;
78.087776;2.233133;
78.106468;2.239729;
78.125168;2.245645;
78.143898;2.246267;
78.162590;2.244560;
78.181290;2.247581;
78.199989;2.254864;
78.218719;2.259121;
78.237411;2.258905;
78.256104;2.258043;
78.274849;2.261346;
78.293541;2.267759;
78.312233;2.271836;
78.330971;2.272184;
78.349678;2.271740;
78.368355;2.274247;
78.387085;2.280235;
78.405785;2.284996;
78.424477;2.284944;
78.443199;2.283166;
78.461906;2.285378;
78.480614;2.291909;
78.499321;2.295070;
78.518036;2.293019;
78.536751;2.290828;
78.555443;2.294062;
78.574158;2.299144;
78.592880;2.300733;
78.611572;2.298769;
78.630264;2.297117;
78.649002;2.299626;
